module	title	code	type	semester	credits	link	full_module_name
Foundations	Advanced Database Systems	184.780	VU	S	6.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=184780&semester=2024S	Prüfungsfach Data Science - Foundations
Foundations	Data-intensive Computing	194.048	VU	S	3.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=194048&semester=2024S	Prüfungsfach Data Science - Foundations
Foundations	Cognitive Foundations of Visualization	193.142	VO	S	3.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=193142&semester=2024S	Prüfungsfach Data Science - Foundations
Foundations	Information Visualization	186.141	VO	S	3.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=186141&semester=2024S	Prüfungsfach Data Science - Foundations
DSA	Interdisciplinary Lecture Series on Data Science	194.088	VU	S	1.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=194088&semester=2024S	Prüfungsfach Domain-Specific Aspects of Data Science
DSA	Interdisciplinary Project in Data Science	194.147	PR	S	5.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=194147&semester=2024S	Prüfungsfach Domain-Specific Aspects of Data Science
DSA	Domain-Specific Lectures in Data Science	194.068	VU	S	3.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=194068&semester=2024S	Prüfungsfach Domain-Specific Aspects of Data Science
FDS/CO	Data Stewardship	194.044	VO	S	3.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=194044&semester=2024S	Modul FDS/CO - Fundamentals of Data Science - Core
FDS/EX	Data Stewardship	194.045	UE	S	3.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=194045&semester=2024S	Modul FDS/EX - Fundamentals of Data Science - Extension
FDS/EX	System and Application Security	192.112	VU	S	6.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=192112&semester=2024S	Modul FDS/EX - Fundamentals of Data Science - Extension
MLS/CO	Recommender Systems	194.035	VU	S	3.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=194035&semester=2024S	Modul MLS/CO - Machine Learning and Statistics - Core
MLS/EX	Advanced Modeling and Simulation	194.056	VU	S	3.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=194056&semester=2024S	Modul MLS/EX - Machine Learning and Statistics - Extension
MLS/EX	AKNUM Advanced Reinfordement Learning	101.879	VU	W	3.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=101879&semester=2023W	Modul MLS/EX - Machine Learning and Statistics - Extension
MLS/EX	AKNUM Reinforcement Learning	101.789	VU	S	6.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=101789&semester=2024S	Modul MLS/EX - Machine Learning and Statistics - Extension
MLS/EX	Reinforcement Learning	194.163	VU	S	6.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=194163&semester=2024S	Modul MLS/EX - Machine Learning and Statistics - Extension
MLS/EX	Algorithmic Social Choice	192.118	VU	S	6.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=192118&semester=2024S	Modul MLS/EX - Machine Learning and Statistics - Extension
MLS/EX	Applied Deep Learning	192.032	VU	S	3.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=192032&semester=2024S	Modul MLS/EX - Machine Learning and Statistics - Extension
MLS/EX	Crypto Asset Analytics	192.080	VU	S	3.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=192080&semester=2024S	Modul MLS/EX - Machine Learning and Statistics - Extension
MLS/EX	Deep Learning for Visual Computing	183.663	VU	S	3.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=183663&semester=2024S	Modul MLS/EX - Machine Learning and Statistics - Extension
MLS/EX	Mathematical Programming	186.835	VU	S	3.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=186835&semester=2024S	Modul MLS/EX - Machine Learning and Statistics - Extension
MLS/EX	Problem Solving and Search in Artificial Intelligence	181.190	VU	S	3.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=181190&semester=2024S	Modul MLS/EX - Machine Learning and Statistics - Extension
MLS/EX	Security, Privacy and Explainability in Machine Learning	194.055	VU	S	3.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=194055&semester=2024S	Modul MLS/EX - Machine Learning and Statistics - Extension
MLS/EX	Theoretical Foundations and Research Topics in Machine Learning	194.100	VU	S	3.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=194100&semester=2024S	Modul MLS/EX - Machine Learning and Statistics - Extension
BDHPC/CO	Basics of Parallel Computing	191.114	VU	S	3.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=191114&semester=2024S	Modul BDHPC/CO - Big Data and High Performance Computing - Core
BDHPC/EX	Analysis 2	104.267	VO	S	3.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=104267&semester=2024S	Modul BDHPC/EX - Big Data and High Performance Computing - Extension
BDHPC/EX	Complexity Analysis	184.215	VU	S	3.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=184215&semester=2024S	Modul BDHPC/EX - Big Data and High Performance Computing - Extension
BDHPC/EX	GPU Architectures and Computing	182.731	VU	S	6.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=182731&semester=2024S	Modul BDHPC/EX - Big Data and High Performance Computing - Extension
BDHPC/EX	Graph Drawing Algorithms	192.141	VU	S	4.5	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=192141&semester=2024S	Modul BDHPC/EX - Big Data and High Performance Computing - Extension
BDHPC/EX	Hands-On Cloud Native	194.131	VU	S	6.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=194131&semester=2024S	Modul BDHPC/EX - Big Data and High Performance Computing - Extension
BDHPC/EX	High Performance Computing	184.725	VU	S	4.5	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=184725&semester=2024S	Modul BDHPC/EX - Big Data and High Performance Computing - Extension
BDHPC/EX	High Performance Computing	184.725	VU	W	4.5	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=184725&semester=2023W	Modul BDHPC/EX - Big Data and High Performance Computing - Extension
BDHPC/EX	Structural Decompositions and Algorithms	186.856	VU	S	3.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=186856&semester=2024S	Modul BDHPC/EX - Big Data and High Performance Computing - Extension
BDHPC/EX	Advanced Database Systems	184.780	VU	S	6.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=184780&semester=2024S	Modul BDHPC/EX - Big Data and High Performance Computing - Extension
BDHPC/EX	Randomized Algorithms	192.020	VU	W	3.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=192020&semester=2023W	Modul BDHPC/EX - Big Data and High Performance Computing - Extension
VAST/CO	Advanced Information Retrieval	188.980	VU	S	3.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=188980&semester=2024S	Modul VAST/CO - Visual Analytics and Semantic Technologies - Core
VAST/CO	Design and Evaluation of Visualisations	193.143	UE	S	3.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=193143&semester=2024S	Modul VAST/CO - Visual Analytics and Semantic Technologies - Core
VAST/EX	Deductive Databases	192.067	VO	W	3.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=192067&semester=2023W	Modul VAST/EX - Visual Analytics and Semantic Technologies - Extension
VAST/EX	Document Analysis	183.628	VU	S	3.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=183628&semester=2024S	Modul VAST/EX - Visual Analytics and Semantic Technologies - Extension
VAST/EX	Information Visualization	186.143	UE	S	1.5	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=186143&semester=2024S	Modul VAST/EX - Visual Analytics and Semantic Technologies - Extension
VAST/EX	Knowledge-based Systems	184.730	VU	S	6.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=184730&semester=2024S	Modul VAST/EX - Visual Analytics and Semantic Technologies - Extension
VAST/EX	Knowledge Graphs	192.116	VU	S	3.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=192116&semester=2024S	Modul VAST/EX - Visual Analytics and Semantic Technologies - Extension
VAST/EX	Medical Image Processing	183.269	VO	S	3.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=183269&semester=2024S	Modul VAST/EX - Visual Analytics and Semantic Technologies - Extension
VAST/EX	Medical Image Processing	183.630	UE	S	3.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=183630&semester=2024S	Modul VAST/EX - Visual Analytics and Semantic Technologies - Extension
VAST/EX	Research topics in natural language processing	194.135	VU	S	3.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=194135&semester=2024S	Modul VAST/EX - Visual Analytics and Semantic Technologies - Extension
VAST/EX	Research topics in natural language processing	194.135	VU	W	3.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=194135&semester=2023W	Modul VAST/EX - Visual Analytics and Semantic Technologies - Extension
VAST/EX	Semantic Technologies	184.729	VU	S	3.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=184729&semester=2024S	Modul VAST/EX - Visual Analytics and Semantic Technologies - Extension
Foundations	AKSTA Statistical Computing	105.731	VU	S	3.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=105731&semester=2025S	Prüfungsfach Data Science - Foundations
Foundations	Data-oriented Programming Paradigms	188.995	VU	W	3.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=188995&semester=2024W	Prüfungsfach Data Science - Foundations
Foundations	Experiment Design for Data Science	188.992	VU	W	3.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=188992&semester=2024W	Prüfungsfach Data Science - Foundations
Foundations	Advanced Methods for Regression and Classification	105.707	VU	W	4.5	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=105707&semester=2024W	Prüfungsfach Data Science - Foundations
Foundations	Machine Learning	184.702	VU	S	4.5	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=184702&semester=2025S	Prüfungsfach Data Science - Foundations
Foundations	Machine Learning	184.702	VU	W	4.5	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=184702&semester=2024W	Prüfungsfach Data Science - Foundations
Foundations	Information Visualization	188.305	VO	W	3.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=188305&semester=2024W	Prüfungsfach Data Science - Foundations
Foundations	Introduction to Semantic Systems	188.399	VU	W	3.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=188399&semester=2024W	Prüfungsfach Data Science - Foundations
DSA	Interdisciplinary Lecture Series on Data Science	194.046	VU	W	1.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=194046&semester=2024W	Prüfungsfach Domain-Specific Aspects of Data Science
DSA	Interdisciplinary Project in Data Science	194.147	PR	W	5.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=194147&semester=2024W	Prüfungsfach Domain-Specific Aspects of Data Science
DSA	Domain-Specific Lectures in Data Science	194.068	VU	W	3.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=194068&semester=2024W	Prüfungsfach Domain-Specific Aspects of Data Science
FDS/CO	Data Acquisition and Survey Methods	105.708	VU	S	3.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=105708&semester=2025S	Modul FDS/CO - Fundamentals of Data Science - Core
FDS/EX	Digital Humanism	194.072	VU	W	3.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=194072&semester=2024W	Modul FDS/EX - Fundamentals of Data Science - Extension
FDS/EX	Sustainability in Computer Science	194.155	VU	W	3.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=194155&semester=2024W	Modul FDS/EX - Fundamentals of Data Science - Extension
FDS/EX	User Research Methods	193.055	VU	W	3.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=193055&semester=2024W	Modul FDS/EX - Fundamentals of Data Science - Extension
FDS/EX	User Research Methods Project	193.056	PR	W	3.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=193056&semester=2024W	Modul FDS/EX - Fundamentals of Data Science - Extension
MLS/CO	Statistical Simulation and Computerintensive Methods	107.330	VU	W	3.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=107330&semester=2024W	Modul MLS/CO - Machine Learning and Statistics - Core
MLS/EX	AI/ML in the Era of Climate Change	194.125	VU	W	4.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=194125&semester=2024W	Modul MLS/EX - Machine Learning and Statistics - Extension
MLS/EX	Advanced Reinforcement Learning	194.170	VU	W	3.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=194170&semester=2024W	Modul MLS/EX - Machine Learning and Statistics - Extension
MLS/EX	Applied Deep Learning	194.077	VU	W	3.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=194077&semester=2024W	Modul MLS/EX - Machine Learning and Statistics - Extension
MLS/EX	Bayesian Statistics	105.173	VU	W	5.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=105173&semester=2024W	Modul MLS/EX - Machine Learning and Statistics - Extension
MLS/EX	Business Intelligence	188.429	VU	W	6.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=188429&semester=2024W	Modul MLS/EX - Machine Learning and Statistics - Extension
MLS/EX	General Regression Models	105.725	VU	S	5.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=105725&semester=2025S	Modul MLS/EX - Machine Learning and Statistics - Extension
MLS/EX	Generative AI	194.154	VU	W	3.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=194154&semester=2024W	Modul MLS/EX - Machine Learning and Statistics - Extension
MLS/EX	Intelligent Audio and Music Analysis	194.039	VU	W	4.5	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=194039&semester=2024W	Modul MLS/EX - Machine Learning and Statistics - Extension
MLS/EX	Machine Learning for Visual Computing	183.605	VU	W	4.5	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=183605&semester=2024W	Modul MLS/EX - Machine Learning and Statistics - Extension
MLS/EX	Modeling and Simulation	194.076	VU	W	3.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=194076&semester=2024W	Modul MLS/EX - Machine Learning and Statistics - Extension
MLS/EX	Modelling and Simulation in Health Technology Assessment	194.094	VU	W	3.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=194094&semester=2024W	Modul MLS/EX - Machine Learning and Statistics - Extension
MLS/EX	Multivariate Statistics	107.388	VO	W	4.5	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=107388&semester=2024W	Modul MLS/EX - Machine Learning and Statistics - Extension
MLS/EX	Multivariate Statistics	107.391	UE	W	1.5	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=107391&semester=2024W	Modul MLS/EX - Machine Learning and Statistics - Extension
MLS/EX	Probabilistic Programming and AI	194.150	VU	W	6.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=194150&semester=2024W	Modul MLS/EX - Machine Learning and Statistics - Extension
MLS/EX	Self-Organizing Systems	188.413	VU	W	4.5	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=188413&semester=2024W	Modul MLS/EX - Machine Learning and Statistics - Extension
MLS/EX	Similarity Modeling 1 - Computational Seeing and Hearing	188.501	VU	W	3.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=188501&semester=2024W	Modul MLS/EX - Machine Learning and Statistics - Extension
MLS/EX	Similarity Modeling 2 - Computational Seeing and Hearing	188.498	VU	W	3.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=188498&semester=2024W	Modul MLS/EX - Machine Learning and Statistics - Extension
MLS/EX	Social Network Analysis	194.050	VU	W	3.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=194050&semester=2024W	Modul MLS/EX - Machine Learning and Statistics - Extension
MLS/EX	Theoretical Foundations and Research Topics in Machine Learning	194.100	VU	W	3.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=194100&semester=2024W	Modul MLS/EX - Machine Learning and Statistics - Extension
BDHPC/CO	Efficient Programs	185.190	VU	W	3.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=185190&semester=2024W	Modul BDHPC/CO - Big Data and High Performance Computing - Core
BDHPC/EX	Advanced Multiprocessor Programming	184.726	VU	W	4.5	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=184726&semester=2024W	Modul BDHPC/EX - Big Data and High Performance Computing - Extension
BDHPC/EX	Algorithmic Geometry	192.133	VU	W	4.5	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=192133&semester=2024W	Modul BDHPC/EX - Big Data and High Performance Computing - Extension
BDHPC/EX	Algorithmics	186.814	VU	W	6.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=186814&semester=2024W	Modul BDHPC/EX - Big Data and High Performance Computing - Extension
BDHPC/EX	Analysis 2	104.268	UE	S	4.5	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=104268&semester=2025S	Modul BDHPC/EX - Big Data and High Performance Computing - Extension
BDHPC/EX	Approximation Algorithms	186.102	VU	W	3.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=186102&semester=2024W	Modul BDHPC/EX - Big Data and High Performance Computing - Extension
BDHPC/EX	Database Theory	181.140	VU	W	3.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=181140&semester=2024W	Modul BDHPC/EX - Big Data and High Performance Computing - Extension
BDHPC/EX	Fixed-Parameter Algorithms and Complexity	192.135	VU	W	4.5	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=192135&semester=2024W	Modul BDHPC/EX - Big Data and High Performance Computing - Extension
BDHPC/EX	Frontiers of Algorithms and Complexity	192.136	VU	W	3.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=192136&semester=2024W	Modul BDHPC/EX - Big Data and High Performance Computing - Extension
BDHPC/EX	Heuristic Optimization Techniques	192.137	VU	W	4.5	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=192137&semester=2024W	Modul BDHPC/EX - Big Data and High Performance Computing - Extension
BDHPC/EX	Hybrid Quantum - Classical Systems	194.027	VU	W	4.5	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=194027&semester=2024W	Modul BDHPC/EX - Big Data and High Performance Computing - Extension
BDHPC/EX	Nonlinear Programming	105.147	VO	W	3.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=105147&semester=2024W	Modul BDHPC/EX - Big Data and High Performance Computing - Extension
BDHPC/EX	Nonlinear Programming	105.652	UE	W	2.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=105652&semester=2024W	Modul BDHPC/EX - Big Data and High Performance Computing - Extension
BDHPC/EX	Randomized Algorithms	192.045	VU	W	3.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=192045&semester=2024W	Modul BDHPC/EX - Big Data and High Performance Computing - Extension
VAST/EX	Description Logics and Ontologies	184.772	VU	W	3.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=184772&semester=2024W	Modul VAST/EX - Visual Analytics and Semantic Technologies - Extension
VAST/EX	Information Visualization	188.308	UE	W	1.5	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=188308&semester=2024W	Modul VAST/EX - Visual Analytics and Semantic Technologies - Extension
VAST/EX	Natural Language Processing and Information Extraction	194.093	VU	W	3.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=194093&semester=2024W	Modul VAST/EX - Visual Analytics and Semantic Technologies - Extension
VAST/EX	Processing of Declarative Knowledge	184.205	VO	W	3.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=184205&semester=2024W	Modul VAST/EX - Visual Analytics and Semantic Technologies - Extension
VAST/EX	Realtime Visualization	186.191	VU	W	3.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=186191&semester=2024W	Modul VAST/EX - Visual Analytics and Semantic Technologies - Extension
VAST/EX	Semi-Automatic Information and Knowledge Systems	188.387	VU	S	3.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=188387&semester=2025S	Modul VAST/EX - Visual Analytics and Semantic Technologies - Extension
VAST/EX	Visual Data Science	186.868	VU	W	3.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=186868&semester=2024W	Modul VAST/EX - Visual Analytics and Semantic Technologies - Extension
VAST/EX	Visualization 2	186.833	VU	W	4.5	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=186833&semester=2024W	Modul VAST/EX - Visual Analytics and Semantic Technologies - Extension
Thesis	Master Thesis	1		W and S	27.0		
Thesis	Seminar for Master students in Data Science	180.772	SE	W and S	1.5		
Thesis	Defense of Master Thesis	2		W and S	1.5		
TSK	Technology for People 2040	194.082	VU	S	3.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=194082&semester=2024S	Modul Freie Wahlfächer und Transferable Skills
TSK	FemChem – gender-sensitive collaboration and project management	034.018	SE	W	3.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=034018&semester=2023W	Modul Freie Wahlfächer und Transferable Skills
TSK	Diversity Skills (English)	629.004	UE	S	1.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=629004&semester=2024S	Modul Freie Wahlfächer und Transferable Skills
TSK	Diversity Skills (English)	629.004	UE	W	1.0	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?courseNr=629004&semester=2023W	Modul Freie Wahlfächer und Transferable Skills
